Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;;LONGITUD;LATITUD;DIRECCION
143;442474,52;4476217,99;01/07/2015;04  SALAMANCA;04-05 LISTA;DIEGO DE LEON, CALLE, DE;54;BiciMAD;24;;-3.67823545607341;40.434616110503; CALLE DE DIEGO DE LEON, 54
144;442707,74;4475961,24;20/06/2015;04  SALAMANCA;04-05 LISTA;JUAN BRAVO, CALLE, DE;50;BiciMAD;24;;-3.67546278832357;40.4323192767183; CALLE DE JUAN BRAVO, 50
145;443050,11;4475675,85;01/07/2015;04  SALAMANCA;04-05 LISTA;JOSE ORTEGA Y GASSET, CALLE, DE;87;BiciMAD;24;;-3.67140101735196;40.4297718501365; CALLE DE JOSE ORTEGA Y GASSET, 87
146;442434,99;4477286,31;20/06/2015;05  CHAMARTÍN;05-01 EL VISO;MARIA FRANCISCA, CALLE, DE;1;BiciMAD;18;;-3.67879828222775;40.4442373182551; CALLE DE MARIA FRANCISCA, 1
147;442372,1;4477741,71;01/07/2015;05  CHAMARTÍN;05-01 EL VISO;DOCTOR ARCE, AVENIDA, DEL;45;BiciMAD;24;;-3.67958114183306;40.4483354192575; AVENIDA DEL DOCTOR ARCE, 45
148;442194,78;4478041,13;01/07/2015;05  CHAMARTÍN;05-01 EL VISO;SERRANO, CALLE, DE;210;BiciMAD;24;;-3.68169931558042;40.4510204216607; CALLE DE SERRANO, 210
149;441672,37;4477914,72;01/07/2015;05  CHAMARTÍN;05-01 EL VISO;LA HABANA, PASEO, DE;42;BiciMAD;24;;-3.68784808757322;40.4498451697623; PASEO DE LA HABANA, 42
150;441443,38;4477835,19;01/07/2015;05  CHAMARTÍN;05-01 EL VISO;CASTELLANA, PASEO, DE LA;S/N;BiciMAD;24;;-3.69054100966626;40.4491126287716; PASEO DE LA CASTELLANA, S/N
151;441047,89;4477810,45;01/07/2015;06  TETUÁN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;10;BiciMAD;24;;-3.69520228576473;40.4488618069579; CALLE DE ORENSE, 10
152;440733,5;4478240,82;01/07/2015;06  TETUÁN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;S/N;BiciMAD;24;;-3.69894968717916;40.4527164088074; AVENIDA DEL GENERAL PERON, S/N
153;441230,1;4478196,25;01/07/2015;06  TETUÁN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;S/N;BiciMAD;24;;-3.6930893999765;40.4523501644264; AVENIDA DEL GENERAL PERON, S/N
154;441097,89;4478466,69;01/07/2015;06  TETUÁN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;36;BiciMAD;24;;-3.69467356900089;40.4547770459342; CALLE DE ORENSE, 36
155;440575,2;4478749,38;01/07/2015;06  TETUÁN;06-02 CUATRO CAMINOS;SAN GERMÁN, CALLE, DE;55;BiciMAD;24;;-3.70086404181687;40.4572864267519; CALLE DE SAN GERMÁN, 55
156;441385,88;4478959,93;01/07/2015;06  TETUÁN;06-03 CASTILLEJOS;SOR ANGELA DE LA CRUZ, CALLE, DE;S/N;BiciMAD;24;;-3.69132288056322;40.4592407253711; CALLE DE SOR ANGELA DE LA CRUZ, S/N
157;441554,84;4478963,2;01/07/2015;05  CHAMARTÍN;05-05 NUEVA ESPAÑA;CASTELLANA, PASEO, DE LA;S/N;BiciMAD;24;;-3.68933052390666;40.4592820835376; PASEO DE LA CASTELLANA, S/N
158;441946,46;4478886,67;01/07/2015;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;ALBERTO ALCOCER, AVENIDA, DE;22 A;BiciMAD;24;;-3.68470488254384;40.4586201189797; AVENIDA DE ALBERTO ALCOCER, 22 A
159;442024,96;4478401,51;01/07/2015;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;LA HABANA, PASEO, DE;63;BiciMAD;24;;-3.68373478002691;40.4542550609982; PASEO DE LA HABANA, 63
160;442637,46;4478722,46;01/07/2015;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;COLOMBIA, CALLE, DE;7;BiciMAD;24;;-3.67654067670693;40.4571888259995; CALLE DE COLOMBIA, 7
161;438748,24;4474860,98;01/07/2015;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;FLORIDA, PASEO, DE LA;8;BiciMAD;24;;-3.72203499059955;40.4221255199314; PASEO DE LA FLORIDA, 8
161 ampliacion;438757,16;4474848,96;12/09/2018;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;FLORIDA, PASEO, DE LA;6;BiciMAD;3;;-3.72192869206803;40.4220178952248; PASEO DE LA FLORIDA, 6
162;439688,47;4472787,76;01/07/2015;02  ARGANZUELA;02-02 ACACIAS;OLMOS, PASEO, DE LOS;28;BiciMAD;24;;-3.71075584974067;40.403517676295; PASEO DE LOS OLMOS, 28
163;440055,04;4472797,85;01/07/2015;02  ARGANZUELA;02-02 ACACIAS;ESPERANZA, PASEO, DE LA;2:00 AM;BiciMAD;21;;-3.70643717926717;40.4036350443485; PASEO DE LA ESPERANZA, 8,33333333333333E-02
164;441064,15;4472071,33;01/07/2015;02  ARGANZUELA;02-05 DELICIAS;DELICIAS, PASEO, DE LAS;92;BiciMAD;24;;-3.69447863235663;40.3971622196514; PASEO DE LAS DELICIAS, 92
165;440794,37;4471598,57;10/09/2019;02  ARGANZUELA;02-03 CHOPERA;CHOPERA, PASEO, DE LA;49;BiciMAD;40;;-3.69761344326395;40.3928842175264; PASEO DE LA CHOPERA, 49
166;439477,71;4473947,39;23/06/2016;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;26;BiciMAD;24;;-3.71334971164657;40.4139488692699; CALLE DE SEGOVIA, 26
167;439117,28;4473925,6;22/05/2017;02  ARGANZUELA;02-01 IMPERIAL;SEGOVIA, CALLE, DE;45;BiciMAD;24;;-3.71759554175092;40.4137262879747; CALLE DE SEGOVIA, 45
